Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
unique_id,unique_id,,text,unique_id,,,,,,,,y,,,,,
scr1_timestamp_auto,screen_1_interview,"<center><h4><strong>INTRODUCTION</strong></h4></center> <br><br>Thank you for agreeing to participate in this interview. We are going to ask you some questions about your health, including HIV status, services use, and how you think about things. <br><br><br>Please answer as honestly as you can. We are not here to judge you and what you tell us is confidential. That means we won't tell anyone anything that you say today. ",text,Auto datetime stamp,,,datetime_mdy,,,,,,,,,,@TODAY @READONLY @NOW @READONLY @HIDDEN
scr1_date,screen_1_interview,,text,Today's Date:,,,date_mdy,,,,,y,,,,,
scr1_staff,screen_1_interview,,text,Staff Initials,,,,,,,,y,,,,,
scr1_before_date,screen_1_interview,,text,"<br>Enter the date 6 weeks before today: [scr1_date]<br><br><div class=""red""> <b>FOR INTERVIEWER:</b><br><a href=""https://www.timeanddate.com/date/dateadd.html"">OPTIONAL link to calculate date</a><br><br>Right click on the above text, and click on ""Open in new window""</div>",,,date_mdy,,,,,y,,,,,@HIDEBUTTON
scr1_notif_date,screen_1_interview,,descriptive,"
<center><font color = ""red"">ERROR: Check, and reenter the date 6 weeks <u>BEFORE</u> today</font><center>
",,,,,,,[scr1_before_date] > [scr1_date],,,,,,
scr1_recruited,screen_1_interview,,radio,How did you hear about us?,"0, Peer referral | 1, Screening event | 2, Gay City News | 3, Metro ad | 4, amNewYork ad | 5, Craigslist | 9, Other",,,,,,,y,,,,,
scr1_recruited_other,screen_1_interview,,notes,"If Other, please specify:",,,,,,,[scr1_recruited] = '9',y,,,,,
scr1_loc,screen_1_interview,,radio,"Where is this interview taking place?

<div class = ""red"">For Interviewer only</div>","0, Over the telephone | 1, HTH2 Field Site | 2, CAMBA, Brooklyn, NY | 3, Housing Works, Brooklyn, NY | 4, Housing Works, New York, NY | 5, Lantern Community Services, New York, NY | 6, Boom! Health, Bronx, NY | 7, Ali Forney Center, New York, NY | 8, After Hours Project, Brooklyn, NY | 9, Gay Men of African Descent, Brooklyn, NY | 10, NYC DOHMH Positive Life Worksop, New York, NY | 11, Other",,,,,,,y,,,,,
scr1_loc_other,screen_1_interview,,text,"Where is this interview taking place?

<div class = ""red"">For Interviewer only</div>",,,,,,,[scr1_loc] = '11',y,,,,,
scr1_prescr_consent,screen_1_interview,,radio,"Does the participant consent to pre-screening?

<div class = ""red"">For Interviewer only</div>","0, No | 1, Yes",,,,,,,y,,,,,
scr1_hth1,screen_1_interview,,radio,"As far as you remember, did you participate in the ""Heart to Heart 1"" Project, which was conducted by NYU in 2012-2014?","0, No | 1, Yes | 997, Don't Know | 998, Refuse to Answer",,,,,,,y,,,,,
scr1_sex,screen_1_interview,,radio,What was your biological sex at birth?,"1, Male | 2, Female | 998, Refuse to Answer",,,,,,,y,,,,,
scr1_dob,screen_1_interview,,text,What is your date of birth?,,,date_mdy,,,y,,y,,,,,@HIDEBUTTON
scr1_auto_age,screen_1_interview,,calc,Current age (automatically calculated),"rounddown(datediff([scr1_dob], [scr1_date], ""y"", ""mdy""), 0, true)",,,,,,,y,,,,,@HIDDEN
scr1_auto_age_descr,screen_1_interview,,descriptive,"<center><div class = ""red""> <strong> NEXT QUESTION - FOR INTERVIEWER ONLY</strong><br><br>Based on the Participant's current age: <strong>[scr1_auto_age]</strong></div></center>",,,,,,,,,,,,,
rand_condition,screen_1_interview,,radio,"Is the participant:<br><br><div class = ""red"">For Interviewer only</div>","1, Younger than 36 | 2, 36 or Older",,,,,,,y,,,,,
scr1_rand_descr1,screen_1_interview,,descriptive,"<center><div class = ""red""><h4><strong>

PARTICIPANT IS 36 OR OLDER: WRONG SELECTION MADE

</strong></h4></div></center>",,,,,,,[scr1_auto_age] >= 36 and [rand_condition] = '1',,,,,,
scr1_rand_descr2,screen_1_interview,,descriptive,"<center><div class = ""red""><h4><strong>

PARTICIPANT IS YOUNGER THAN 36: WRONG SELECTION MADE

</strong></h4></div></center>",,,,,,,[scr1_auto_age] < 36 and [rand_condition] = '2',,,,,,
scr1_livingin,screen_1_interview,,radio,"Where have you been living during the past month, that is, what borough or other location? <br><br><div class=""red""><b> NOTE TO INTERVIEWER: </b><br>""Larger NYC metropolitan area"" includes locations that border NYC in Nassau County Long Island, and counties in North-East New Jersey on the Hudson River including Middlesex, Union, Essex, Hudson, and Bergen counties </div>","0, Manhattan | 1, The Bronx | 2, Queens | 3, Brooklyn | 4, Staten Island | 5, Larger NYC metropolitan area | 6, Outside NYC metropolitan area | 998, Refuse to Answer",,,,,,,y,,,,,
scr1_leave,screen_1_interview,,radio,Do you have any plans to leave the New York City metropolitan area in the next year?,"0, No | 1, Yes |998, Refuse to Answer",,,,,,,y,,,,,
scr1_ethnicity,screen_1_interview,,radio,Do you consider yourself Hispanic/ Latino?,"0, No | 1, Yes |998, Refuse to Answer",,,,,,,y,,,,,
scr1_race,screen_1_interview,,checkbox,"How would you describe your racial background: that is, which group or groups describe you best? <br><br><div class = ""red"">Read each, and Check all that apply</div>","a, Native American or Alaskan Native | b, Asian | c, Black or African-American | d, Native Hawaiian or Pacific Islander | e, White | f, Other | g, Don't Know | h, Refuse to Answer",,,,,,,y,,,,,
scr1_race_other,screen_1_interview,,text,How would you describe your race or ethnicity?,,,,,,,[scr1_race(f)] = '1',y,,,,,
scr1_lang,screen_1_interview,,radio,"Can you take part in activities that are conducted in English and/ or Spanish? ","0, No | 1, Yes |998, Refuse to Answer",,,,,,,y,,,,,
scr1_hivstat,screen_1_interview,<center><h4><strong>HIV STATUS</strong></h4><br><br>We will now ask you questions about your health including your HIV Status.<br>We want to remind you that your answers are confidential.</center>,radio,Have you ever been told you have HIV?,"0, No | 1, Yes | 997, Don't Know | 998, Refuse to Answer",,,,,,,y,,,,,
scr1_firsthiv_6mths,screen_1_interview,,radio,"Think about when you were first told you have HIV. Was that within the past 6 months?



<div class = ""red""><b>If YES:</b>
You told us you were diagnosed within the past 6 months. Please tell us the month you were diagnosed in.</div>","0, No | 1, Yes | 997, Don't Know | 998, Refuse to Answer",,,,,,[scr1_hivstat] = '1',y,,,,,
scr1_firsthiv_recently,screen_1_interview,,radio,Was that within the past year?,"0, No | 1, Yes | 997, Don't Know | 998, Refuse to Answer",,,,,,[scr1_firsthiv_6mths] = '0',y,,,,,
