"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
unique_id,unique_id,,text,unique_id,,,,,,y,,y,,,,,
scr1_timestamp_auto,screening,"<center><h4><strong>INTRODUCTION</strong></h4></center> 

Thank you for agreeing to participate in this interview. We are going to ask you some questions about your health, service use, and how you think about things. 


Please answer as honestly as you can. We are not here to judge you and what you tell us is confidential. That means we won't tell anyone anything that you say today. ",text,"Auto datetime stamp",,,datetime_mdy,,,,,,,,,,"@TODAY @READONLY @NOW @READONLY @HIDDEN"
scr1_date,screening,,text,"Today's Date:",,,date_mdy,,,,,y,,,,,
scr1_gender,screening,,radio,"Gender at birth?","1, Female | 2, Male",,,,,,,y,,,,,
scr1_dob,screening,,text,"What is your date of birth?",,,date_mdy,,,y,,y,,,,,@HIDEBUTTON
scr1_auto_age,screening,,calc,"Current age (automatically calculated)","rounddown(datediff([scr1_dob], [scr1_date], ""y"", ""mdy""), 0, true)",,,,,,,y,,,,,@HIDDEN
scr1_livingin,screening,,radio,"Where have you been living during the past month, that is, what borough or other location? <br><br><div class=""red""><b> NOTE TO INTERVIEWER: </b><br>""Larger NYC metropolitan area"" includes locations that border NYC in Nassau County Long Island, and counties in North-East New Jersey on the Hudson River including Middlesex, Union, Essex, Hudson, and Bergen counties </div>","0, Manhattan | 1, The Bronx | 2, Queens | 3, Brooklyn | 4, Staten Island | 5, Larger NYC metropolitan area | 6, Outside NYC metropolitan area | 998, Refuse to Answer",,,,,,,y,,,,,
scr1_leave,screening,,radio,"Do you have any plans to leave the New York City metropolitan area in the next year?","0, No | 1, Yes |998, Refuse to Answer",,,,,,,y,,,,,
scr1_notif_ie,screening,"<div class=""red""><center><strong> FOR THE INTERVIEWER ONLY: </center></strong></div>",descriptive,"Participant is 

<div class = ""red""><font color= ""red""><h3><strong><center>INELIGIBLE </center></strong></font></h3></div>

That's the end of the interview. Thank you so much for your time, and for telling us about yourself.
You are <font color = ""red""><strong>Not Eligible</strong></font> for the other part of the study.",,,,,,,"[scr1_auto_age] < 18 or [scr1_auto_age] > 65 or [scr1_livingin] = '6' or [scr1_livingin] = '998' or [scr1_leave] = '1'",,,,,,
scr1_notif_e,screening,,descriptive,"Participant is 

<div class = ""green""><font color=""green""><h3><center><strong>ELIGIBLE</strong></center></h3></font></div>",,,,,,,"[scr1_auto_age] >= 18 and [scr1_auto_age] <= 65 and [scr1_livingin] != '6' and [scr1_livingin] != '998' and [scr1_leave] != '1'",,,,,,
scr1_eligibility,screening,,radio,"Is the participant:","0, Ineligible | 1, Eligible",,,,,,,y,,,,,
scr1_e_wrong_notif,screening,,descriptive,"<center><div class = ""red""><br><br><h3>PLEASE CHECK THE ELIGIBILITY STATUS - 
<b>THE PARTICIPANT SHOULD BE <font color =""green""><u>ELIGIBLE</u></font></h3></b><br><br></div></center>",,,,,,,"[scr1_auto_age] >= 18 and [scr1_auto_age] <= 65 and [scr1_livingin] <> '6' and [scr1_livingin] <> '998' and [scr1_leave] <> '1'",,,,,,
scr1_ie_wrong_notif,screening,,descriptive,"<center><div class = ""red""><br><br><h3>PLEASE CHECK THE ELIGIBILITY STATUS - 
<b>THE PARTICIPANT SHOULD BE <u>INELIGIBLE</u></b><br><br></h3></div></center>",,,,,,,"[scr1_auto_age] < 18 or [scr1_auto_age] > 65 or [scr1_livingin] = '6' or [scr1_livingin] = '998' or [scr1_leave] = '1'",,,,,,
scr1_notif_end,screening,,descriptive,"<center><h4><br>That's the end of the interview.<br>Thank you so much for your time, and for telling us about yourself.<br><br>You are <font color = ""green"">eligible</font> for another part of the study, and I will explain what that involves next.</h4></center>",,,,,,,"[scr1_eligibility] = '1' and [scr1_auto_age] >= 18 and [scr1_auto_age] <= 65 and [scr1_livingin] != '6' and [scr1_livingin] != '998' and [scr1_leave] != '1'",,,,,,
